Word with borrowing2	Full COGID
264	418
264	418
264	418
266	239
264	418
268 264	421
268 93	422
234	423
234	423
234	423
234	423
234	423
189	424
189	424
189	424
234	423
234	423
189	424
190	425
234	423
234	423
6	426
234	423
189	424
190	425
234	423
236	427
234	423
234	423
234	423
21	428
21	428
417	429
417	429
417	429
417	429
417	429
417	429
417	429
417	429
417	429
417	429
670	430
417	429
417	429
417	429
469	431
417	429
469	431
417	429
417	429
615	432
615	432
615	432
615	432
615	432
616	433
616	433
615	432
615	432
615	432
615	432
615	432
615	432
615	432
615	432
615	432
615	432
615	432
615	432
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
109	434
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
153	435
156	436
463 36	351
232	193
232	193
463 36	351
463 36	351
463 36	351
463 36	351
463 36	351
463	354
463 36	351
463	354
463 36	351
463  44	437
463 36	351
463	354
463 36 40	438
463 36 40	438
463 36	351
463  36	439
463 36	351
463 36	351
455 456 59	359
463	354
455 456 59	359
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
591	440
592	441
591	440
155 609	442
48	443
29	444
155 609	442
48	443
155 609	442
48	443
48 48	445
48 48	445
155 609	442
48 48	445
155 609	442
29	444
713 48	446
125	51
155 609	442
29	444
29 25 17	447
48 48	445
713 48	446
713 48	446
155 609	442
29	444
714	448
713	449
715	450
155 609	442
48	443
125	51
29	444
713	449
713	449
401 402	451
401 402	451
401 402	451
401 402	451
401 402	451
401 403	452
401 402	451
401 402	451
401 402	451
401 402	451
401 402	451
401 404	453
401 402	451
401 402  	454
401 404	453
401 402	451
401 404	453
401 402	451
401 404	453
401	455
401 29	456
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
137	457
523	458
523	458
523	458
523	458
523	458
523	458
523	458
523	458
353	459
523	458
523	458
523	458
523	458
523	458
523	458
523	458
523	458
523	458
523	458
523	458
145	460
145	460
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
711 712	461
447	462
447	462
447	462
447	462
447	462
447	462
447	462
447	462
448	463
448	463
448	463
447	462
448	463
448	463
448	463
447	462
447	462
447	462
448	463
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
681	464
87	465
87	465
87	465
87 88 	466
87	465
87	465
89 90	467
89	468
87	465
91 89	469
78 89	470
78 89	470
87	465
89 92	471
89 93	472
87	465
89	468
89 92	471
89	468
89	468
94 93	473
95 92	474
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
345	475
284	476
284	476
56 285	477
56 284 285	478
284	476
286 287	479
284	476
285	42
284	476
285	42
284	476
289	480
289	480
291 292	481
284	476
289	480
289	480
289 284	482
294 295	483
289	480
284	476
296 295	484
56 292	485
76	486
76	486
76	486
76	486
76	486
76	486
76	486
76	486
76	486
76 77	487
76	486
76	486
76	486
76	486
76	486
76	486
76	486
76 77	487
76	486
76	486
76	486
76	486
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
97	488
98	489
97	488
97	488
99	490
99	490
100	491
100	491
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
25	190
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
371	492
372	493
371	492
371	492
706	494
706	494
486	495
706	494
486	495
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
706	494
707	496
706	494
36	497
36	497
36	497
36	497
36	497
36	497
36	497
36	497
36	497
36	497
59	498
36	497
36	497
36	497
36	497
36	497
36	497
59	498
59	498
274	499
274	499
274	499
274	499
275	500
275	500
275	500
274	499
276	501
69 277	502
276	501
274	499
275	500
274	499
278	503
279	504
275	500
274	499
276 280	505
268 281	506
282 283	507
387	508
387	508
387	508
387	508
387	508
387	508
387	508
387	508
387	508
387	508
387	508
387	508
209	509
387	508
698	510
387	508
699	511
700	512
776	513
701	514
387	508
257	515
257	515
257	515
257	515
257	515
257	515
258	516
257	515
257	515
257	515
257	515
259	517
257	515
260	518
261	519
257	515
257	515
257	515
257	515
262	520
263	521
257	515
257	515
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
396	522
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
655	523
385 386	524
385 386	524
385 386 	525
385 386	524
385 386	524
385 386 386	526
385 388	527
385 178	528
385 178 386	529
385 386	524
385 386	524
385 389	530
385 389	530
385 386	524
385 386	524
385 386	524
385 390	531
385 386	524
